pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00339085,"",D000000794,Qualcomm Inc,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00034157,"",D000000126,AFLAC Inc,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00426775,"",D000000672,Charter Communications,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00104802,"",D000000350,Delta Air Lines,5020,5000,20,2022-04-18 00:00:00 +0000,8, , ,0,          
C00109017,"",D000000076,AT&T Inc,5010,5000,10,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Lapolt Law,5000,0,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00144774,"",D000000168,Southern Co                             ,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",4500,4500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00024521,"",D000000065,American Assn for Justice,3500,3500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00248716,"",D000000461,Comcast Corp,3500,3500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00477653,"",D000000768,Cox Enterprises,3500,3500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
