pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Ahcv,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000090826,Tusk Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00415752,"",D000024424,Border Health,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000087772,Eleanor Crook Foundation,9700,0,9700,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000042670,HEB Grocery,8755,0,8755,2022-04-18 00:00:00 +0000,5, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00441949,"",          ,JStreetPAC,6750,5500,1250,2022-04-18 00:00:00 +0000,7, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,6000,6000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Gordon Hartman Family Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70000492,"",D000000064,National Education Assn,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00024521,"",D000000065,American Assn for Justice,4500,4500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,4000,4000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00220558,"",D000028174,"Orrick, Herrington & Sutcliffe          ",3800,0,3800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,3500,3500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,3000,3000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00693044,"",          ,People First Future,2996,2996,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Advertiser Consultant,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Ang Law Firm,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Avanzar Interior Technologies,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
