pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00202184,"",D000027883,National Rural Water Assn,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00101766,"",          ,United Airlines,13978,3000,10978,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Thegroup,13585,0,13585,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000089785,Outreach Strategists LLC,10978,0,10978,2022-04-18 00:00:00 +0000,4, , ,0,          
C00227546,"",D000000115,Microsoft Corp,10685,5000,5685,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030937,Wax Co,10180,0,10180,2022-04-18 00:00:00 +0000,6, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00068692,"",D000000089,FedEx Corp,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00286401,"",D000000145,Seafarers International Union,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00008268,"",D000000178,Transport Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004861,"",D000022292,UNITE HERE,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C70003124,"",D000000077,Service Employees International Union,9803,9803,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,McL Jasco,9802,0,9802,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8500,8500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,7250,7250,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00193631,"",D000000359,Farm Credit Council,7000,7000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00501460,"",          ,Unity9 PAC,7000,7000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00248716,"",D000000461,Comcast Corp,6500,6500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00363879,"",D000000255,Entergy Corp,6500,6500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00542365,"",          ,Toyota Motor North America,6000,6000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000075134,Gray Global Advisors,5921,0,5921,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,"La, Tunica-Biloxi Tribe",5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,5500,5500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00093054,"",D000000367,Walmart Inc,5225,5000,225,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Not Employed,5057,0,5057,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000082964,Advanced Strategies Inc,5000,0,5000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00034157,"",D000000126,AFLAC Inc,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00089136,"",D000000067,Altria Group,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00034678,"",D000024032,American Waterways Operators,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
