pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00100321,"",D000071910,L3Harris Technologies,17000,17000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00141218,"",D000000368,Exelon Corp,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00418897,"",D000029722,VoteVets.org,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000063564,Strategic Resources Inc,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00078451,"",D000000165,General Dynamics,7500,7500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034396,Invariant LLC,6463,0,6463,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Alpine Developer Group,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Hhc,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000071830,Standard Industries,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5500,4500,1000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000074033,Roosevelt Group,5400,0,5400,2022-04-18 00:00:00 +0000,14, , ,0,          
C00731414,"",D000072270,Amentum Services,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00114108,"",D000024017,American Society of Travel Advisors,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000090884,Home Health Connection,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00088591,"",D000000170,Northrop Grumman,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00100404,"",D000070010,United Postmasters & Managers of America,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000067201,Empire Consulting Group,4709,0,4709,2022-04-18 00:00:00 +0000,33, , ,0,          
C00142711,"",D000000100,Boeing Co,4500,4500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00009282,"",D000019639,Norfolk Southern,4500,4500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00281212,"",D000000583,BAE Systems,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Cipriani & Werner                                 ,3900,0,3900,2022-04-18 00:00:00 +0000,39, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00248716,"",D000000461,Comcast Corp,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,3500,2500,1000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00275123,"",          ,Leonardo DRS,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00113241,"",D000027790,National Apartment Assn,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,3500,3500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00365502,"",D000022588,BWX Technologies,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00034827,"",D000025623,Eaton Corp,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00546234,"",D000000369,Leidos Inc,3000,3000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Darcars,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Evans & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Freestate Electrical Construction Comp,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,"Gml LLC,Dba, Jd Belfield Enterprises",2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000093443,HSK Consulting,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Igc,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000035437,Lone Pine Capital,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000030377,Third Point LLC,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000073750,Zoom Foundation,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
C00107300,"",          ,American Airlines,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00024968,"",D000000194,American Optometric Assn,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00324483,"",          ,Berkshire Hathaway Energy,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Canton,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00085316,"",D000000222,Cigna Corp,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000033366,ECPI College of Technology,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00095869,"",D000000297,Edison Electric Institute,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000050409,Education Affiliates,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Everest Care Management,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00350744,"",D000000085,Goldman Sachs,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00284885,"",D000000419,Home Depot,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000078946,J&M Tank Lines,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000077587,Sheehy Auto Stores,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Southwest University At El Paso,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Triumph Higher Education Group,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00012245,"",          ,UBS Americas,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,2000,2000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Alterwood Health,2000,0,2000,2022-04-18 00:00:00 +0000,89, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,2000,2000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00002881,"",D000000177,American Trucking Assns,2000,2000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00109017,"",D000000076,AT&T Inc,2000,2000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
